"hotspot_no","state_name","district","block_taluka","village","lat","lng","source_type","contaminant","concentration","unit","bis_limit","exceedance_factor","severity","data_as_of_year","data_source"
"1","Bihar","East Champaran","Turkauliya","","26.60995","84.84336","H.P.","arsenic","0.0856","mg/L","0.01","8.56","very_high","2024","cgwb_annual_report"
"2","Bihar","East Champaran","Motihari","","26.75819","84.97741","H.P.","arsenic","0.0169","mg/L","0.01","1.69","moderate","2024","cgwb_annual_report"
"3","Bihar","East Champaran","Ghorasahan","","26.78612","85.10897","H.P.","arsenic","0.0368","mg/L","0.01","3.68","high","2024","cgwb_annual_report"
"4","Bihar","Muzaffarpur","Bochaha","","26.13468","85.54685","H.P.","arsenic","0.0158","mg/L","0.01","1.58","moderate","2024","cgwb_annual_report"
"5","Madhya Pradesh","Singrauli","Deosar","","24.242","82.0392","DW","arsenic","0.0429","mg/L","0.01","4.29","high","2024","cgwb_annual_report"
"6","West Bengal","Nadia","Chakdah","","23.0929","88.5256","Hand Pump","arsenic","0.0469","mg/L","0.01","4.69","high","2024","cgwb_annual_report"
"7","West Bengal","Nadia","Chakdah","","23.08848","88.5599","Hand Pump","arsenic","0.0192","mg/L","0.01","1.92","moderate","2024","cgwb_annual_report"
"8","West Bengal","Nadia","Chakdah","","23.1093","88.6131","Hand Pump","arsenic","0.0543","mg/L","0.01","5.43","very_high","2024","cgwb_annual_report"
"9","West Bengal","Nadia","Chakdah","","23.095","88.6506","Hand Pump","arsenic","0.0374","mg/L","0.01","3.74","high","2024","cgwb_annual_report"
"10","West Bengal","Nadia","Chakdah","","23.0523","88.533","Hand Pump","arsenic","0.0333","mg/L","0.01","3.33","high","2024","cgwb_annual_report"
"11","West Bengal","Nadia","Chakdah","","23.059","88.5768","Hand Pump","arsenic","0.0309","mg/L","0.01","3.09","high","2024","cgwb_annual_report"
"12","West Bengal","Nadia","Chakdah","","23.0519","88.6285","Hand Pump","arsenic","0.1633","mg/L","0.01","16.33","very_high","2024","cgwb_annual_report"
"13","West Bengal","Nadia","Chakdah","","23.0469","88.6552","Hand Pump","arsenic","0.0192","mg/L","0.01","1.92","moderate","2024","cgwb_annual_report"
"14","West Bengal","Nadia","Chakdah","","23.0049","88.4339","Hand Pump","arsenic","0.0623","mg/L","0.01","6.23","very_high","2024","cgwb_annual_report"
"15","West Bengal","Nadia","Chakdah","","23.0251","88.5198","Hand Pump","arsenic","0.0242","mg/L","0.01","2.42","high","2024","cgwb_annual_report"
"16","West Bengal","Nadia","Harringhata","","22.99178","88.56368","Deep HP","arsenic","0.0619","mg/L","0.01","6.19","very_high","2024","cgwb_annual_report"
"17","West Bengal","Nadia","Harringhata","","23.00443","88.61286","Hand Pump","arsenic","0.0165","mg/L","0.01","1.65","moderate","2024","cgwb_annual_report"
"18","West Bengal","Nadia","Chakdah","","23.017","88.6599","Hand Pump","arsenic","0.0465","mg/L","0.01","4.65","high","2024","cgwb_annual_report"
"19","West Bengal","Nadia","Chakdah","","22.9587","88.4169","Hand Pump","arsenic","0.1417","mg/L","0.01","14.17","very_high","2024","cgwb_annual_report"
"20","West Bengal","Nadia","Chakdah","","22.9827","88.4834","Hand Pump","arsenic","0.0185","mg/L","0.01","1.85","moderate","2024","cgwb_annual_report"
"21","West Bengal","Nadia","Harringhata","","22.95507","88.57295","Hand Pump","arsenic","0.0127","mg/L","0.01","1.27","moderate","2024","cgwb_annual_report"
"22","West Bengal","Nadia","Harringhata","","22.98056","88.66083","Hand Pump","arsenic","0.0126","mg/L","0.01","1.26","moderate","2024","cgwb_annual_report"
"23","West Bengal","Nadia","Chakdah","","22.9485","88.4961","Hand Pump","arsenic","0.0265","mg/L","0.01","2.65","high","2024","cgwb_annual_report"
"24","West Bengal","Nadia","Harringhata","","22.92498","88.56096","Hand Pump","arsenic","0.0113","mg/L","0.01","1.13","moderate","2024","cgwb_annual_report"
"25","West Bengal","Nadia","Harringhata","","22.93531","88.61568","Hand Pump","arsenic","0.0127","mg/L","0.01","1.27","moderate","2024","cgwb_annual_report"
"26","West Bengal","Nadia","Harringhata","","22.92902","88.64257","Hand Pump","arsenic","0.0109","mg/L","0.01","1.09","moderate","2024","cgwb_annual_report"
"27","Andhra Pradesh","Bapatla","Bapatla","","15.9387","80.476","DW","arsenic","0.0149","mg/L","0.01","1.49","moderate","2024","cgwb_annual_report"
"28","Andhra Pradesh","Guntur","Pedanandipadu","","16.07639","80.30833","DW","arsenic","0.0124","mg/L","0.01","1.24","moderate","2024","cgwb_annual_report"
"29","Andhra Pradesh","Nellore","Atmakur","","14.46795","79.53852","DW","arsenic","0.0391","mg/L","0.01","3.91","high","2024","cgwb_annual_report"
"30","Andhra Pradesh","Palnadu","Rompicherla2","","16.21","79.9133","DW","arsenic","0.0101","mg/L","0.01","1.01","moderate","2024","cgwb_annual_report"
"31","Andhra Pradesh","Prakasam","Kurichedu","","15.9319","79.5939","DW","arsenic","0.0124","mg/L","0.01","1.24","moderate","2024","cgwb_annual_report"
"32","Telangana","Suryapet","Suryapet","","17.13283","79.63073","BW","arsenic","0.0175","mg/L","0.01","1.75","moderate","2024","cgwb_annual_report"
"33","Telangana","Suryapet","Suryapet","","17.18167","79.64444","DW","arsenic","0.0229","mg/L","0.01","2.29","high","2024","cgwb_annual_report"
"34","Uttar Pradesh","Rampur","Milak","","28.67988","79.12907","Handpump","arsenic","0.0153","mg/L","0.01","1.53","moderate","2024","cgwb_annual_report"
"35","Uttar Pradesh","Bijnor","Afzalgarh","","29.3794","78.73179","Handpump","arsenic","0.028","mg/L","0.01","2.8","high","2024","cgwb_annual_report"
"36","Uttar Pradesh","Raebareli","Kheron","","26.29174","80.92767","HP India Mark","arsenic","0.0719","mg/L","0.01","7.19","very_high","2024","cgwb_annual_report"
"37","Uttar Pradesh","Hardoi","Tadiyawan","","27.43792","80.24056","India Mark II HP","arsenic","0.0195","mg/L","0.01","1.95","moderate","2024","cgwb_annual_report"
"38","Uttar Pradesh","Lakhimpur Kheri","Ishanagasr","","27.90759","81.20733","India Mark II HP","arsenic","0.0272","mg/L","0.01","2.72","high","2024","cgwb_annual_report"
"39","Uttar Pradesh","Lakhimpur Kheri","Palia","","28.38561","80.69248","India Mark II HP","arsenic","0.0868","mg/L","0.01","8.68","very_high","2024","cgwb_annual_report"
"40","Uttar Pradesh","Lakhimpur Kheri","Palia Kalan","","28.43734","80.57762","India Mark II HP","arsenic","0.0519","mg/L","0.01","5.19","very_high","2024","cgwb_annual_report"
"41","Uttar Pradesh","Lakhimpur Kheri","Bankeyganj","","28.32348","80.47131","India Mark II HP","arsenic","0.0117","mg/L","0.01","1.17","moderate","2024","cgwb_annual_report"
"42","Uttar Pradesh","Shahjahanpur","Dadraul","","27.83672","79.87013","India Mark II HP","arsenic","0.0131","mg/L","0.01","1.31","moderate","2024","cgwb_annual_report"
"43","Uttar Pradesh","Pilibhit","Puranpur","","28.43746","80.16879","India Mark II HP","arsenic","0.0359","mg/L","0.01","3.59","high","2024","cgwb_annual_report"
"1","Chhattisgarh","Gariyaband","Chhura","Pond","20.81598","81.95103","HP","fluoride","1.95","mg/L","1.5","1.3","moderate","2024","cgwb_annual_report"
