district_name,state_name,district_code,year,pm25_sedac_raw,pm25_sedac_median,pm25_sedac_std
NicobarIslands,AndamanandNicobar,IND.1.1_1,2000,13.273612112472962,13.300000190734863,0.40402997703442567
NorthandMiddleAndaman,AndamanandNicobar,IND.1.2_1,2000,19.974876775317572,19.799999237060547,1.6560416430233245
SouthAndaman,AndamanandNicobar,IND.1.3_1,2000,17.53197245450074,17.399999618530273,1.6439460451360612
Anantapur,AndhraPradesh,IND.2.1_1,2000,17.330758383437676,17.399999618530273,1.7051458427502568
Chittoor,AndhraPradesh,IND.2.2_1,2000,16.327340666929754,15.5,2.7632971757611022
EastGodavari,AndhraPradesh,IND.2.3_1,2000,20.35405701754386,20.399999618530273,3.2447587522560766
Guntur,AndhraPradesh,IND.2.4_1,2000,21.89438921930189,21.799999237060547,1.400595617114992
Krishna,AndhraPradesh,IND.2.5_1,2000,21.162914518900344,21.5,1.6198796772961135
Kurnool,AndhraPradesh,IND.2.6_1,2000,19.513695302553106,19.700000762939453,1.737135159798208
Nellore,AndhraPradesh,IND.2.7_1,2000,20.79287174699899,21.0,2.714816506884098
Prakasam,AndhraPradesh,IND.2.8_1,2000,19.48891909018143,19.799999237060547,2.242428701305947
Srikakulam,AndhraPradesh,IND.2.9_1,2000,19.637353433835845,19.700000762939453,1.349961460574616
Visakhapatnam,AndhraPradesh,IND.2.10_1,2000,16.815451818088174,17.700000762939453,3.0977323672902943
Vizianagaram,AndhraPradesh,IND.2.11_1,2000,19.91166185045008,19.899999618530273,1.575594812970843
WestGodavari,AndhraPradesh,IND.2.12_1,2000,21.01473221087917,20.799999237060547,2.394079662378583
Y.S.R.,AndhraPradesh,IND.2.13_1,2000,17.964087293755426,18.100000381469727,2.5441985933792832
Anjaw,ArunachalPradesh,IND.3.1_1,2000,8.595494734629224,8.600000381469727,0.45239421601280067
Anjaw,ArunachalPradesh,Z07.3.1_1,2000,7.897405375227583,8.0,0.4199211086955585
Changlang,ArunachalPradesh,IND.3.2_1,2000,11.146586277173913,10.300000190734863,1.994574517079884
DibangValley,ArunachalPradesh,Z07.3.3_1,2000,5.880872547173196,6.0,0.9245042100510431
EastKameng,ArunachalPradesh,Z07.3.4_1,2000,11.53061785954301,11.300000190734863,0.921581520960167
EastSiang,ArunachalPradesh,IND.3.5_1,2000,9.679354094579008,9.399999618530273,1.178821401755194
EastSiang,ArunachalPradesh,Z07.3.5_1,2000,8.861456788308102,8.600000381469727,1.0976297062125278
KurungKumey,ArunachalPradesh,Z07.3.6_1,2000,9.294512492854421,9.300000190734863,0.8187566170244491
Lohit,ArunachalPradesh,IND.3.7_1,2000,8.89598935219428,8.899999618530273,0.5447106942806124
Lohit,ArunachalPradesh,Z07.3.7_1,2000,8.16486475489161,8.300000190734863,0.25562093565049937
Longding,ArunachalPradesh,IND.3.8_1,2000,20.425765165441177,20.600000381469727,1.5004021809380723
LowerDibangValley,ArunachalPradesh,IND.3.9_1,2000,8.121939897158187,8.0,0.3498517019657499
LowerDibangValley,ArunachalPradesh,Z07.3.9_1,2000,7.655359358778874,7.699999809265137,0.3632415587311349
LowerSubansiri,ArunachalPradesh,Z07.3.10_1,2000,10.668831168831169,10.600000381469727,1.0249208904308842
Namsai,ArunachalPradesh,IND.3.11_1,2000,10.624102313701924,10.600000381469727,0.49061301501933907
PapumPare,ArunachalPradesh,Z07.3.12_1,2000,12.353019026788479,12.100000381469727,1.4550137644237164
Tawang,ArunachalPradesh,Z07.3.13_1,2000,14.261461238590263,14.5,1.364095353600279
Tirap,ArunachalPradesh,IND.3.14_1,2000,18.184786225912777,18.200000762939453,1.432310367569493
UpperSiang,ArunachalPradesh,Z07.3.15_1,2000,6.869412068101187,7.099999904632568,0.9262854434399324
UpperSubansiri,ArunachalPradesh,Z07.3.16_1,2000,8.692227713342364,8.699999809265137,1.0566379613854298
WestKameng,ArunachalPradesh,Z07.3.17_1,2000,12.159633164330451,12.100000381469727,1.2847370006673169
WestSiang,ArunachalPradesh,Z07.3.18_1,2000,8.910569096834914,8.600000381469727,2.0695175213820236
Baksa,Assam,IND.4.1_1,2000,20.571249855791418,20.5,1.0301676843429612
Barpeta,Assam,IND.4.2_1,2000,25.341038960053424,25.799999237060547,4.3411089391370155
Bongaigaon,Assam,IND.4.3_1,2000,22.12584648359841,22.200000762939453,2.0465040717150056
Cachar,Assam,IND.4.4_1,2000,24.417805845164153,24.5,2.8007027842400873
Chirang,Assam,IND.4.5_1,2000,25.827875244365224,25.299999237060547,3.464766157914749
Darrang,Assam,IND.4.6_1,2000,21.771259846779778,20.899999618530273,3.9194872426716354
Dhemaji,Assam,IND.4.7_1,2000,16.160845191893056,16.0,2.5742400580321507
Dhubri,Assam,IND.4.8_1,2000,27.518204216566865,26.399999618530273,3.810584598186813
Dibrugarh,Assam,IND.4.9_1,2000,20.711008110071013,20.799999237060547,1.7663790945470097
DimaHasao,Assam,IND.4.10_1,2000,20.433522727272727,20.399999618530273,1.6705337484201979
Goalpara,Assam,IND.4.11_1,2000,27.044041143399532,26.899999618530273,1.9844899602323824
Golaghat,Assam,IND.4.12_1,2000,22.11923438970819,22.399999618530273,2.3767960175878264
Hailakandi,Assam,IND.4.13_1,2000,28.413429054054053,28.349998474121094,1.7904580956329885
Jorhat,Assam,IND.4.14_1,2000,24.716491438688397,24.700000762939453,1.376600422195908
Kamrup,Assam,IND.4.16_1,2000,28.712910274144868,29.5,3.395415116724972
KamrupMetropolitan,Assam,IND.4.15_1,2000,27.93918889470014,28.200000762939453,1.5505830811854173
KarbiAnglong,Assam,IND.4.17_1,2000,20.97089812599681,21.399999618530273,2.0974130169381273
Karimganj,Assam,IND.4.18_1,2000,31.08354757007922,31.0,1.3881880738006105
Kokrajhar,Assam,IND.4.19_1,2000,31.73761554621849,32.5,6.021358649673874
Lakhimpur,Assam,IND.4.20_1,2000,18.425298781622026,18.399999618530273,2.3700904558749
Morigaon,Assam,IND.4.21_1,2000,25.326603735734665,25.399999618530273,2.722167872488754
Nagaon,Assam,IND.4.22_1,2000,22.27443189679026,23.0,2.776914740869282
Nalbari,Assam,IND.4.23_1,2000,24.843975283213183,23.600000381469727,4.653980982277226
Sivasagar,Assam,IND.4.24_1,2000,24.639557879072683,24.899999618530273,1.0742415616271759
Sonitpur,Assam,IND.4.25_1,2000,15.458993360518612,15.100000381469727,1.6807946835156258
Tinsukia,Assam,IND.4.26_1,2000,14.350765006858216,14.399999618530273,3.418970683154357
Udalguri,Assam,IND.4.27_1,2000,17.821873466418957,18.100000381469727,1.30976033296139
Araria,Bihar,IND.5.1_1,2000,45.13304273084479,45.099998474121094,0.9464338575681852
Arwal,Bihar,IND.5.2_1,2000,51.806666666666665,51.79999923706055,1.3516245705372056
Aurangabad,Bihar,IND.5.3_1,2000,44.155810796422486,44.0,3.5827277383992597
Banka,Bihar,IND.5.4_1,2000,39.886881569409205,40.400001525878906,3.6049674324745333
Begusarai,Bihar,IND.5.5_1,2000,57.90939120103687,58.5,2.6169970092698636
Bhagalpur,Bihar,IND.5.6_1,2000,47.67164250547046,47.20000076293945,2.979690691854822
Bhojpur,Bihar,IND.5.7_1,2000,56.84227988620366,56.70000076293945,1.8732402304226532
Buxar,Bihar,IND.5.8_1,2000,57.95261371073298,57.70000076293945,1.6416275325678618
Darbhanga,Bihar,IND.5.9_1,2000,58.81435400555824,59.0,2.1411234702011726
Gaya,Bihar,IND.5.10_1,2000,41.44326010842557,42.0,4.1851293394998015
Gopalganj,Bihar,IND.5.11_1,2000,72.07666993773687,72.69999694824219,2.372206854909392
Jamui,Bihar,IND.5.12_1,2000,38.42532637372635,38.099998474121094,4.880426785762612
Jehanabad,Bihar,IND.5.13_1,2000,50.32159141459075,50.29999923706055,1.7748964537485241
Kaimur,Bihar,IND.5.14_1,2000,41.0460745176314,44.79999923706055,12.308938351783263
Katihar,Bihar,IND.5.15_1,2000,46.881780285843924,46.900001525878906,2.016212434203311
Khagaria,Bihar,IND.5.16_1,2000,56.10238517550411,56.900001525878906,3.0838775146722064
Kishanganj,Bihar,IND.5.17_1,2000,39.92680591351661,40.0,1.9279438887117264
Lakhisarai,Bihar,IND.5.18_1,2000,47.691932716306155,47.79999923706055,3.490435190189355
Madhepura,Bihar,IND.5.19_1,2000,50.841052939842804,50.79999923706055,1.6774019702687541
Madhubani,Bihar,IND.5.20_1,2000,54.38075313807531,54.599998474121094,2.113209560035746
Munger,Bihar,IND.5.21_1,2000,46.637142857142855,45.70000076293945,4.9178409703189105
Muzaffarpur,Bihar,IND.5.22_1,2000,65.7825534354448,66.0,2.287955210990503
Nalanda,Bihar,IND.5.23_1,2000,50.65860086248203,50.400001525878906,2.0063773587375033
Nawada,Bihar,IND.5.24_1,2000,42.884513156418315,43.20000076293945,4.2897824229141905
PashchimChamparan,Bihar,IND.5.25_1,2000,56.44354817571818,56.70000076293945,7.377548715740263
Patna,Bihar,IND.5.26_1,2000,55.15908352115118,55.099998474121094,1.8577975866900542
