district_name,state_name,flood_events_per_decade,cyclone_events_per_decade,earthquake_events_per_decade,disaster_insurance_loss_cr,disaster_frequency_score
Mandsaur,MadhyaPradesh,0.0,0.0,0.0,0.0,0.0
Saharanpur,UttarPradesh,0.0,0.0,0.0,0.0,0.0
Ratlam,MadhyaPradesh,0.0,0.0,0.0,0.0,0.0
Raebareli,UttarPradesh,0.0,0.0,0.0,0.0,0.0
Shahdol,MadhyaPradesh,0.0,0.0,0.0,0.0,0.0
Rajgarh,MadhyaPradesh,0.0,0.0,0.0,0.0,0.0
Sonbhadra,UttarPradesh,0.0,0.0,0.0,0.0,0.0
Santravidasnagar,UttarPradesh,0.0,0.0,0.0,0.0,0.0
Sambhal,UttarPradesh,0.0,0.0,0.0,0.0,0.0
Lowersubansiri,ArunachalPradesh,0.0,0.0,0.0,0.0,0.0
Tawang,ArunachalPradesh,0.0,0.0,0.0,0.0,0.0
Puruliya,WestBengal,0.0,0.0,0.0,0.0,0.0
Nicobarislands,AndamanandNicobar,0.0,0.0,0.0,0.0,0.0
Uttardinajpur,WestBengal,0.0,0.0,0.0,0.0,0.0
