district_name,state_name,district_code,heat_wave_days_per_year,heat_months_total,total_months_analysed
Thoothukkudi,TamilNadu,IND.31.25_1,0,0,552
Tiruchirappalli,TamilNadu,IND.31.26_1,0,0,552
Tirunelveli,TamilNadu,IND.31.27_1,0,0,552
Tiruppur,TamilNadu,IND.31.28_1,0,0,552
Tiruvannamalai,TamilNadu,IND.31.29_1,0,0,552
Vellore,TamilNadu,IND.31.30_1,0,0,552
Viluppuram,TamilNadu,IND.31.31_1,0,0,552
Virudunagar,TamilNadu,IND.31.32_1,0,0,552
Adilabad,Telangana,IND.32.1_1,2,3,552
Hyderabad,Telangana,IND.32.2_1,0,0,552
Karimnagar,Telangana,IND.32.3_1,14,21,552
Khammam,Telangana,IND.32.4_1,5,8,552
Mahbubnagar,Telangana,IND.32.5_1,0,0,552
Medak,Telangana,IND.32.6_1,0,0,552
Nalgonda,Telangana,IND.32.7_1,3,4,552
Nizamabad,Telangana,IND.32.8_1,1,1,552
RangaReddy,Telangana,IND.32.9_1,0,0,552
Warangal,Telangana,IND.32.10_1,2,3,552
Dhalai,Tripura,IND.33.1_1,0,0,552
Gomati,Tripura,IND.33.2_1,0,0,552
Khowai,Tripura,IND.33.3_1,0,0,552
NorthTripura,Tripura,IND.33.4_1,0,0,552
Sipahijala,Tripura,IND.33.5_1,0,0,552
SouthTripura,Tripura,IND.33.6_1,0,0,552
Unokoti,Tripura,IND.33.7_1,0,0,552
WestTripura,Tripura,IND.33.8_1,0,0,552
Agra,UttarPradesh,IND.34.1_1,7,11,552
Aligarh,UttarPradesh,IND.34.2_1,4,6,552
Allahabad,UttarPradesh,IND.34.3_1,6,9,552
AmbedkarNagar,UttarPradesh,IND.34.4_1,1,2,552
Amethi,UttarPradesh,IND.34.5_1,2,3,552
Amroha,UttarPradesh,IND.34.6_1,1,1,552
Auraiya,UttarPradesh,IND.34.7_1,4,6,552
Azamgarh,UttarPradesh,IND.34.8_1,1,2,552
Baghpat,UttarPradesh,IND.34.9_1,1,1,552
Bahraich,UttarPradesh,IND.34.10_1,0,0,552
Ballia,UttarPradesh,IND.34.11_1,1,1,552
Balrampur,UttarPradesh,IND.34.12_1,0,0,552
Banda,UttarPradesh,IND.34.13_1,11,17,552
Barabanki,UttarPradesh,IND.34.14_1,1,2,552
Bareilly,UttarPradesh,IND.34.15_1,1,2,552
Basti,UttarPradesh,IND.34.16_1,0,0,552
Bijnor,UttarPradesh,IND.34.17_1,0,0,552
Budaun,UttarPradesh,IND.34.18_1,1,2,552
Bulandshahr,UttarPradesh,IND.34.19_1,2,3,552
Chandauli,UttarPradesh,IND.34.20_1,5,8,552
Chitrakoot,UttarPradesh,IND.34.21_1,10,16,552
Deoria,UttarPradesh,IND.34.22_1,0,0,552
Etah,UttarPradesh,IND.34.23_1,3,5,552
Etawah,UttarPradesh,IND.34.24_1,5,7,552
Faizabad,UttarPradesh,IND.34.25_1,1,2,552
Farrukhabad,UttarPradesh,IND.34.26_1,2,3,552
Fatehpur,UttarPradesh,IND.34.27_1,6,9,552
Firozabad,UttarPradesh,IND.34.28_1,6,9,552
GautamBuddhaNagar,UttarPradesh,IND.34.29_1,3,4,552
Ghaziabad,UttarPradesh,IND.34.30_1,1,2,552
Ghazipur,UttarPradesh,IND.34.31_1,1,2,552
Gonda,UttarPradesh,IND.34.32_1,1,1,552
Gorakhpur,UttarPradesh,IND.34.33_1,0,0,552
Hamirpur,UttarPradesh,IND.34.34_1,16,25,552
Hapur,UttarPradesh,IND.34.35_1,2,3,552
Hardoi,UttarPradesh,IND.34.36_1,1,2,552
Hathras,UttarPradesh,IND.34.37_1,5,8,552
Jalaun,UttarPradesh,IND.34.38_1,13,20,552
Jaunpur,UttarPradesh,IND.34.39_1,5,7,552
Jhansi,UttarPradesh,IND.34.40_1,16,25,552
Kannauj,UttarPradesh,IND.34.41_1,2,3,552
KanpurDehat,UttarPradesh,IND.34.42_1,7,11,552
KanpurNagar,UttarPradesh,IND.34.43_1,5,8,552
Kasganj,UttarPradesh,IND.34.44_1,2,3,552
Kaushambi,UttarPradesh,IND.34.45_1,5,7,552
Kushinagar,UttarPradesh,IND.34.46_1,0,0,552
LakhimpurKheri,UttarPradesh,IND.34.47_1,0,0,552
Lalitpur,UttarPradesh,IND.34.48_1,7,10,552
Lucknow,UttarPradesh,IND.34.49_1,2,3,552
Maharajganj,UttarPradesh,IND.34.50_1,0,0,552
Mahoba,UttarPradesh,IND.34.51_1,18,28,552
Mainpuri,UttarPradesh,IND.34.52_1,3,5,552
Mathura,UttarPradesh,IND.34.53_1,7,10,552
Mau,UttarPradesh,IND.34.54_1,1,2,552
Meerut,UttarPradesh,IND.34.55_1,1,1,552
Mirzapur,UttarPradesh,IND.34.56_1,2,3,552
Moradabad,UttarPradesh,IND.34.57_1,1,1,552
Muzaffarnagar,UttarPradesh,IND.34.58_1,1,1,552
Pilibhit,UttarPradesh,IND.34.59_1,0,0,552
Pratapgarh,UttarPradesh,IND.34.60_1,5,7,552
RaeBareli,UttarPradesh,IND.34.61_1,5,8,552
Rampur,UttarPradesh,IND.34.62_1,1,1,552
Saharanpur,UttarPradesh,IND.34.63_1,0,0,552
Sambhal,UttarPradesh,IND.34.64_1,1,2,552
SantKabirNagar,UttarPradesh,IND.34.65_1,1,1,552
SantRaviDasNagar,UttarPradesh,IND.34.66_1,3,4,552
Shahjahanpur,UttarPradesh,IND.34.67_1,1,2,552
Shamli,UttarPradesh,IND.34.68_1,1,1,552
Shravasti,UttarPradesh,IND.34.69_1,0,0,552
SiddharthNagar,UttarPradesh,IND.34.70_1,0,0,552
Sitapur,UttarPradesh,IND.34.71_1,1,2,552
Sonbhadra,UttarPradesh,IND.34.72_1,1,2,552
Sultanpur,UttarPradesh,IND.34.73_1,2,3,552
Unnao,UttarPradesh,IND.34.74_1,3,5,552
Varanasi,UttarPradesh,IND.34.75_1,2,3,552
Almora,Uttarakhand,IND.35.1_1,0,0,552
Bageshwar,Uttarakhand,IND.35.2_1,0,0,552
Chamoli,Uttarakhand,IND.35.3_1,0,0,552
Chamoli,Uttarakhand,Z05.35.3_1,0,0,552
Champawat,Uttarakhand,IND.35.4_1,0,0,552
Dehradun,Uttarakhand,IND.35.5_1,0,0,552
Garhwal,Uttarakhand,IND.35.6_1,0,0,552
Hardwar,Uttarakhand,IND.35.7_1,0,0,552
Nainital,Uttarakhand,IND.35.8_1,0,0,552
Pithoragarh,Uttarakhand,IND.35.9_1,0,0,552
Pithoragarh,Uttarakhand,Z05.35.9_1,0,0,552
Rudraprayag,Uttarakhand,IND.35.10_1,0,0,552
TehriGarhwal,Uttarakhand,IND.35.11_1,0,0,552
UdhamSinghNagar,Uttarakhand,IND.35.12_1,0,0,552
Uttarkashi,Uttarakhand,IND.35.13_1,0,0,552
Uttarkashi,Uttarakhand,Z09.35.13_1,0,0,552
Alipurduar,WestBengal,IND.36.1_1,0,0,552
Bankura,WestBengal,IND.36.2_1,0,0,552
Barddhaman,WestBengal,IND.36.3_1,0,0,552
Birbhum,WestBengal,IND.36.4_1,0,0,552
DakshinDinajpur,WestBengal,IND.36.5_1,0,0,552
Darjiling,WestBengal,IND.36.6_1,0,0,552
Haora,WestBengal,IND.36.7_1,0,0,552
Hugli,WestBengal,IND.36.8_1,0,0,552
Jalpaiguri,WestBengal,IND.36.9_1,0,0,552
KochBihar,WestBengal,IND.36.10_1,0,0,552
Kolkata,WestBengal,IND.36.11_1,0,0,552
Maldah,WestBengal,IND.36.12_1,0,0,552
Murshidabad,WestBengal,IND.36.13_1,0,0,552
Nadia,WestBengal,IND.36.14_1,0,0,552
North24Parganas,WestBengal,IND.36.15_1,0,0,552
PashchimMedinipur,WestBengal,IND.36.16_1,0,0,552
PurbaMedinipur,WestBengal,IND.36.17_1,0,0,552
Puruliya,WestBengal,IND.36.18_1,0,0,552
South24Parganas,WestBengal,IND.36.19_1,0,0,552
UttarDinajpur,WestBengal,IND.36.20_1,0,0,552
